xflr5 v6.47

ELTA
T1-50.0 m/s-VLM2-Inviscid
QInf  =   50.000000 m/s
Alpha =  -10.000000
Beta  =    0.000
Phi   =    0.000
Ctrl  =    0.000
CL    =   -0.230952
Cy    =   -0.000000
Cd    =    0.002193     ICd   =    0.002193     PCd   =    0.000000
Cl   = -1.69615e-16
Cm   =  -0.0326717
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =   -0.175960     YCP   =   -0.000000     ZCP   =    0.040648  
XNP   =    0.000000
Bending = -8052.487780

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
  63       2.577e-01      -5.841e+00       9.355e-03          -0.167          -0.011           0.986       6.822e-03         -2.6186
  64       2.280e-01      -5.841e+00       4.477e-03          -0.113          -0.010           0.994       2.301e-03         -6.4416
Strip 6
  65       1.074e+00      -5.633e+00      -1.097e-02           0.147           0.001           0.989       2.896e-03          0.0783
  66       1.055e+00      -5.633e+00      -8.244e-03           0.142           0.001           0.990       8.513e-03          0.1260
  67       1.012e+00      -5.633e+00      -2.341e-03           0.129           0.001           0.992       1.361e-02          0.1629
  68       9.483e-01      -5.633e+00       5.670e-03           0.112           0.001           0.994       1.790e-02          0.1815
  69       8.667e-01      -5.633e+00       1.440e-02           0.091           0.001           0.996       2.113e-02          0.1726
  70       7.720e-01      -5.633e+00       2.239e-02           0.066          -0.000           0.998       2.312e-02          0.1349
  71       6.700e-01      -5.633e+00       2.847e-02           0.040          -0.001           0.999       2.378e-02          0.0766
  72       5.664e-01      -5.633e+00       3.175e-02           0.006          -0.003           1.000       2.307e-02         -0.0204
  73       4.673e-01      -5.633e+00       3.112e-02          -0.048          -0.005           0.999       2.107e-02         -0.2739
  74       3.785e-01      -5.633e+00       2.591e-02          -0.097          -0.007           0.995       1.787e-02         -0.6871
  75       3.051e-01      -5.633e+00       1.820e-02          -0.135          -0.009           0.991       1.362e-02         -1.3468
  76       2.514e-01      -5.633e+00       1.063e-02          -0.162          -0.011           0.987       8.540e-03         -2.6913
  77       2.206e-01      -5.633e+00       5.734e-03          -0.108          -0.010           0.994       2.881e-03         -6.6052
Strip 7
  78       1.101e+00      -5.386e+00      -1.533e-02           0.153           0.000           0.988       3.522e-03          0.0773
  79       1.081e+00      -5.386e+00      -1.237e-02           0.147           0.000           0.989       1.035e-02          0.1242
  80       1.037e+00      -5.386e+00      -5.959e-03           0.135           0.001           0.991       1.655e-02          0.1600
  81       9.704e-01      -5.386e+00       2.779e-03           0.118           0.001           0.993       2.176e-02          0.1773
  82       8.853e-01      -5.386e+00       1.237e-02           0.096           0.000           0.995       2.568e-02          0.1667
  83       7.866e-01      -5.386e+00       2.127e-02           0.072          -0.000           0.997       2.811e-02          0.1270
  84       6.803e-01      -5.386e+00       2.822e-02           0.046          -0.002           0.999       2.890e-02          0.0665
  85       5.723e-01      -5.386e+00       3.227e-02           0.012          -0.003           1.000       2.803e-02         -0.0324
  86       4.690e-01      -5.386e+00       3.221e-02          -0.042          -0.005           0.999       2.559e-02         -0.2872
  87       3.765e-01      -5.386e+00       2.731e-02          -0.091          -0.007           0.996       2.170e-02         -0.7015
  88       3.000e-01      -5.386e+00       1.971e-02          -0.129          -0.009           0.992       1.654e-02         -1.3629
  89       2.440e-01      -5.386e+00       1.214e-02          -0.157          -0.011           0.988       1.037e-02         -2.7132
  90       2.118e-01      -5.386e+00       7.224e-03          -0.102          -0.010           0.995       3.498e-03         -6.6484
Strip 8
  91       1.132e+00      -5.103e+00      -2.033e-02           0.159          -0.000           0.987       4.188e-03          0.0769
  92       1.112e+00      -5.103e+00      -1.711e-02           0.153          -0.000           0.988       1.231e-02          0.1234
  93       1.066e+00      -5.103e+00      -1.012e-02           0.141           0.000           0.990       1.968e-02          0.1588
  94       9.958e-01      -5.103e+00      -5.435e-04           0.124           0.000           0.992       2.588e-02          0.1757
  95       9.067e-01      -5.103e+00       1.004e-02           0.102          -0.000           0.995       3.054e-02          0.1647
  96       8.034e-01      -5.103e+00       1.999e-02           0.078          -0.001           0.997       3.341e-02          0.1249
  97       6.921e-01      -5.103e+00       2.794e-02           0.052          -0.002           0.999       3.435e-02          0.0646
  98       5.791e-01      -5.103e+00       3.287e-02           0.018          -0.003           1.000       3.331e-02         -0.0334
  99       4.710e-01      -5.103e+00       3.345e-02          -0.036          -0.005           0.999       3.040e-02         -0.2866
 100       3.741e-01      -5.103e+00       2.892e-02          -0.085          -0.007           0.996       2.577e-02         -0.6985
 101       2.940e-01      -5.103e+00       2.145e-02          -0.123          -0.009           0.992       1.964e-02         -1.3561
 102       2.354e-01      -5.103e+00       1.388e-02          -0.151          -0.011           0.989       1.231e-02         -2.6995
 103       2.017e-01      -5.103e+00       8.935e-03          -0.096          -0.009           0.995       4.154e-03         -6.6067
Strip 9
 104       1.168e+00      -4.784e+00      -2.595e-02           0.165          -0.001           0.986       4.897e-03          0.0771
 105       1.146e+00      -4.784e+00      -2.243e-02           0.159          -0.001           0.987       1.439e-02          0.1239
 106       1.098e+00      -4.784e+00      -1.478e-02           0.147          -0.001           0.989       2.301e-02          0.1597
 107       1.024e+00      -4.784e+00      -4.275e-03           0.130          -0.000           0.991       3.025e-02          0.1770
 108       9.307e-01      -4.784e+00       7.425e-03           0.109          -0.001           0.994       3.569e-02          0.1667
 109       8.223e-01      -4.784e+00       1.854e-02           0.084          -0.001           0.996       3.904e-02          0.1279
 110       7.053e-01      -4.784e+00       2.763e-02           0.058          -0.002           0.998       4.014e-02          0.0692
 111       5.867e-01      -4.784e+00       3.354e-02           0.024          -0.003           1.000       3.892e-02         -0.0263
 112       4.732e-01      -4.784e+00       3.486e-02          -0.030          -0.005           1.000       3.550e-02         -0.2761
 113       3.714e-01      -4.784e+00       3.072e-02          -0.079          -0.007           0.997       3.009e-02         -0.6834
 114       2.873e-01      -4.784e+00       2.340e-02          -0.117          -0.009           0.993       2.292e-02         -1.3335
 115       2.258e-01      -4.784e+00       1.583e-02          -0.145          -0.011           0.989       1.436e-02         -2.6611
 116       1.904e-01      -4.784e+00       1.086e-02          -0.090          -0.009           0.996       4.850e-03         -6.5059
Strip 10
 117       1.207e+00      -4.433e+00      -3.215e-02           0.171          -0.002           0.985       5.645e-03          0.0780
 118       1.184e+00      -4.433e+00      -2.830e-02           0.165          -0.001           0.986       1.659e-02          0.1255
 119       1.133e+00      -4.433e+00      -1.993e-02           0.153          -0.001           0.988       2.653e-02          0.1621
 120       1.056e+00      -4.433e+00      -8.389e-03           0.136          -0.001           0.991       3.487e-02          0.1805
 121       9.572e-01      -4.433e+00       4.540e-03           0.115          -0.001           0.993       4.113e-02          0.1716
 122       8.431e-01      -4.433e+00       1.695e-02           0.090          -0.001           0.996       4.499e-02          0.1346
 123       7.200e-01      -4.433e+00       2.728e-02           0.064          -0.002           0.998       4.624e-02          0.0784
 124       5.950e-01      -4.433e+00       3.427e-02           0.030          -0.003           1.000       4.483e-02         -0.0137
 125       4.756e-01      -4.433e+00       3.641e-02          -0.024          -0.005           1.000       4.087e-02         -0.2591
 126       3.684e-01      -4.433e+00       3.272e-02          -0.073          -0.007           0.997       3.463e-02         -0.6602
 127       2.799e-01      -4.433e+00       2.555e-02          -0.111          -0.009           0.994       2.638e-02         -1.3004
 128       2.152e-01      -4.433e+00       1.799e-02          -0.139          -0.010           0.990       1.652e-02         -2.6062
 129       1.779e-01      -4.433e+00       1.298e-02          -0.084          -0.009           0.996       5.582e-03         -6.3658
Strip 11
 130       1.249e+00      -4.052e+00      -3.888e-02           0.177          -0.002           0.984       6.430e-03          0.0793
 131       1.225e+00      -4.052e+00      -3.468e-02           0.171          -0.002           0.985       1.890e-02          0.1278
 132       1.171e+00      -4.052e+00      -2.552e-02           0.159          -0.002           0.987       3.021e-02          0.1657
 133       1.090e+00      -4.052e+00      -1.286e-02           0.142          -0.001           0.990       3.970e-02          0.1856
 134       9.859e-01      -4.052e+00       1.406e-03           0.121          -0.001           0.993       4.683e-02          0.1785
 135       8.656e-01      -4.052e+00       1.522e-02           0.096          -0.002           0.995       5.122e-02          0.1438
 136       7.359e-01      -4.052e+00       2.690e-02           0.070          -0.002           0.998       5.264e-02          0.0906
 137       6.041e-01      -4.052e+00       3.508e-02           0.036          -0.003           0.999       5.101e-02          0.0024
 138       4.782e-01      -4.052e+00       3.809e-02          -0.018          -0.005           1.000       4.650e-02         -0.2380
 139       3.652e-01      -4.052e+00       3.488e-02          -0.067          -0.007           0.998       3.939e-02         -0.6322
 140       2.719e-01      -4.052e+00       2.789e-02          -0.105          -0.009           0.994       2.999e-02         -1.2607
 141       2.036e-01      -4.052e+00       2.032e-02          -0.133          -0.010           0.991       1.879e-02         -2.5410
 142       1.643e-01      -4.052e+00       1.528e-02          -0.078          -0.009           0.997       6.348e-03         -6.2011
Strip 12
 143       1.294e+00      -3.643e+00      -4.610e-02           0.182          -0.003           0.983       7.244e-03          0.0809
 144       1.269e+00      -3.643e+00      -4.152e-02           0.177          -0.003           0.984       2.129e-02          0.1306
 145       1.212e+00      -3.643e+00      -3.152e-02           0.165          -0.002           0.986       3.403e-02          0.1700
 146       1.126e+00      -3.643e+00      -1.765e-02           0.148          -0.002           0.989       4.472e-02          0.1916
 147       1.017e+00      -3.643e+00      -1.956e-03           0.126          -0.002           0.992       5.275e-02          0.1866
 148       8.898e-01      -3.643e+00       1.337e-02           0.102          -0.002           0.995       5.768e-02          0.1544
 149       7.529e-01      -3.643e+00       2.650e-02           0.076          -0.003           0.997       5.926e-02          0.1044
 150       6.139e-01      -3.643e+00       3.594e-02           0.042          -0.004           0.999       5.743e-02          0.0204
 151       4.810e-01      -3.643e+00       3.989e-02          -0.012          -0.005           1.000       5.233e-02         -0.2147
 152       3.618e-01      -3.643e+00       3.720e-02          -0.061          -0.007           0.998       4.432e-02         -0.6014
 153       2.633e-01      -3.643e+00       3.040e-02          -0.100          -0.008           0.995       3.374e-02         -1.2175
 154       1.913e-01      -3.643e+00       2.283e-02          -0.127          -0.010           0.992       2.113e-02         -2.4702
 155       1.498e-01      -3.643e+00       1.775e-02          -0.072          -0.009           0.997       7.142e-03         -6.0234
Strip 13
 156       1.343e+00      -3.209e+00      -5.375e-02           0.188          -0.004           0.982       8.080e-03          0.0825
 157       1.316e+00      -3.209e+00      -4.878e-02           0.182          -0.003           0.983       2.374e-02          0.1336
 158       1.256e+00      -3.209e+00      -3.789e-02           0.170          -0.003           0.985       3.795e-02          0.1746
 159       1.165e+00      -3.209e+00      -2.274e-02           0.153          -0.002           0.988       4.987e-02          0.1980
 160       1.050e+00      -3.209e+00      -5.522e-03           0.132          -0.002           0.991       5.881e-02          0.1952
 161       9.155e-01      -3.209e+00       1.141e-02           0.108          -0.002           0.994       6.430e-02          0.1657
 162       7.710e-01      -3.209e+00       2.607e-02           0.082          -0.003           0.997       6.606e-02          0.1189
 163       6.243e-01      -3.209e+00       3.685e-02           0.048          -0.004           0.999       6.400e-02          0.0392
 164       4.839e-01      -3.209e+00       4.180e-02          -0.006          -0.005           1.000       5.830e-02         -0.1904
 165       3.581e-01      -3.209e+00       3.966e-02          -0.056          -0.006           0.998       4.936e-02         -0.5696
 166       2.542e-01      -3.209e+00       3.306e-02          -0.094          -0.008           0.996       3.757e-02         -1.1729
 167       1.781e-01      -3.209e+00       2.549e-02          -0.122          -0.010           0.992       2.352e-02         -2.3974
 168       1.344e-01      -3.209e+00       2.037e-02          -0.066          -0.008           0.998       7.954e-03         -5.8411
Strip 14
 169       1.393e+00      -2.754e+00      -6.180e-02           0.193          -0.004           0.981       8.926e-03          0.0842
 170       1.365e+00      -2.754e+00      -5.640e-02           0.187          -0.004           0.982       2.623e-02          0.1366
 171       1.302e+00      -2.754e+00      -4.457e-02           0.175          -0.003           0.985       4.193e-02          0.1792
 172       1.206e+00      -2.754e+00      -2.808e-02           0.158          -0.003           0.987       5.508e-02          0.2045
 173       1.084e+00      -2.754e+00      -9.269e-03           0.137          -0.003           0.991       6.495e-02          0.2038
 174       9.425e-01      -2.754e+00       9.340e-03           0.113          -0.003           0.994       7.100e-02          0.1770
 175       7.900e-01      -2.754e+00       2.561e-02           0.087          -0.003           0.996       7.294e-02          0.1335
 176       6.351e-01      -2.754e+00       3.781e-02           0.053          -0.004           0.999       7.065e-02          0.0580
 177       4.871e-01      -2.754e+00       4.381e-02          -0.001          -0.005           1.000       6.434e-02         -0.1663
 178       3.543e-01      -2.754e+00       4.225e-02          -0.050          -0.006           0.999       5.446e-02         -0.5379
 179       2.446e-01      -2.754e+00       3.585e-02          -0.089          -0.008           0.996       4.144e-02         -1.1286
 180       1.643e-01      -2.754e+00       2.829e-02          -0.117          -0.010           0.993       2.595e-02         -2.3249
 181       1.182e-01      -2.754e+00       2.312e-02          -0.061          -0.008           0.998       8.775e-03         -5.6604
Strip 15
 182       1.446e+00      -2.279e+00      -7.018e-02           0.197          -0.005           0.980       9.770e-03          0.0859
 183       1.416e+00      -2.279e+00      -6.434e-02           0.192          -0.004           0.981       2.871e-02          0.1395
 184       1.349e+00      -2.279e+00      -5.153e-02           0.180          -0.004           0.984       4.589e-02          0.1836
 185       1.248e+00      -2.279e+00      -3.364e-02           0.163          -0.003           0.987       6.028e-02          0.2107
 186       1.120e+00      -2.279e+00      -1.317e-02           0.142          -0.003           0.990       7.108e-02          0.2122
 187       9.706e-01      -2.279e+00       7.189e-03           0.118          -0.003           0.993       7.769e-02          0.1879
 188       8.097e-01      -2.279e+00       2.514e-02           0.092          -0.003           0.996       7.980e-02          0.1475
 189       6.465e-01      -2.279e+00       3.880e-02           0.058          -0.004           0.998       7.728e-02          0.0761
